,epochs,lr,train_loss,train_accuracy,train_recall_precision,val_loss,val_accuracy,val_recall_precision
14,14,[0.0005000000000001413],0.3179227420992225,0.8852554744525541,0.8839270072992704,0.37218288828929263,0.8809523809523809,0.8798095238095239
15,15,[9.549150281251833e-05],0.3098137453198433,0.8997810218978095,0.8978905109489053,0.3549093348639352,0.8859523809523808,0.8848809523809523
16,16,[2.447174185244077e-05],0.2974084137673796,0.8921897810218972,0.8905766423357668,0.34282006695866585,0.8878571428571428,0.8865476190476193
17,17,[0.00034549150281261095],0.27450515482112436,0.9067153284671523,0.9052043795620439,0.34003218742353575,0.886190476190476,0.885261904761905
18,18,[0.0007938926261460943],0.2895827165594066,0.8986131386861307,0.8969124087591241,0.3797469940923509,0.872857142857143,0.8717380952380952
19,19,[0.001],0.2703847290173064,0.9059124087591233,0.9040437956204384,0.34037085125843686,0.894285714285714,0.8925952380952382
20,20,[0.000793892626145808],0.2920067648600488,0.8993430656934298,0.8979051094890511,0.35482425295880865,0.8902380952380954,0.8888095238095237
21,21,[0.0003454915028126895],0.25227146340112616,0.9092700729926997,0.907270072992701,0.3329443223774433,0.8921428571428571,0.8902142857142857
22,22,[2.4471741852423235e-05],0.25952765571266195,0.9113868613138676,0.9092992700729933,0.36612116509959813,0.8866666666666665,0.8843809523809525
23,23,[9.549150281253385e-05],0.23888733376660487,0.9177372262773709,0.9157518248175186,0.35370537887016934,0.886190476190476,0.8842619047619048
24,24,[0.0005000000000005751],0.2485911305042079,0.9159854014598529,0.914153284671533,0.35864183989663917,0.8814285714285717,0.8807142857142858
25,25,[0.0009045084971879756],0.23179607321746157,0.9230656934306558,0.9212043795620438,0.31641152270493056,0.9073809523809524,0.9054047619047619
26,26,[0.0009755282581476304],0.23893652195586776,0.9128467153284663,0.9108978102189786,0.3129593426627772,0.8990476190476192,0.8977380952380953
27,27,[0.0006545084971881462],0.2356766200196134,0.9151824817518236,0.9134452554744531,0.312257049516553,0.8997619047619049,0.8971428571428571
28,28,[0.00020610737385383076],0.21983565531507895,0.9270072992700715,0.9249051094890516,0.33820089059216635,0.8930952380952377,0.891714285714286
29,29,[0.0],0.22005154061926543,0.9251094890510938,0.9232627737226279,0.33688858195784543,0.8940476190476193,0.8919761904761905
30,30,[0.00020610737385389716],0.22812575186147308,0.9191240875912398,0.9171094890510951,0.31474470329426585,0.9011904761904759,0.899214285714286
31,31,[0.0006545084971877305],0.20638934794786204,0.9303649635036485,0.9285401459854018,0.3180677711608864,0.9026190476190477,0.9002619047619046
32,32,[0.0009755282581475078],0.20377259018973712,0.9280291970802907,0.9260145985401466,0.33487164450898055,0.8909523809523812,0.8893809523809524
33,33,[0.0009045084971882562],0.19181935002442693,0.933722627737225,0.9319270072992704,0.3301536655496983,0.8964285714285716,0.8947380952380954
34,34,[0.0005000000000001366],0.21433769567550098,0.92890510948905,0.9271678832116791,0.32631019467399236,0.8969047619047618,0.895809523809524
35,35,[9.549150281265491e-05],0.21390943030697585,0.9283941605839401,0.9262554744525552,0.3501190546722639,0.8959523809523808,0.8952619047619047
36,36,[2.4471741852422632e-05],0.1980478125522389,0.9325547445255461,0.9302992700729932,0.320693102886989,0.9007142857142855,0.899309523809524
37,37,[0.00034549150281271347],0.1982598810517875,0.9332116788321156,0.931284671532847,0.3196313139051199,0.8892857142857145,0.888166666666667
38,38,[0.000793892626147223],0.19323836757808271,0.9357664233576631,0.9337664233576645,0.30976524319322335,0.9038095238095238,0.901595238095238
39,39,[0.0009999999999992693],0.1918126684579536,0.9346715328467141,0.9326350364963509,0.29506349563598633,0.9102380952380952,0.908309523809524
40,40,[0.000793892626146369],0.18780046810198875,0.9354744525547433,0.9335474452554748,0.3015595366734834,0.9076190476190475,0.9055714285714286
41,41,[0.0003454915028128261],0.20131566098136625,0.9383941605839402,0.9362992700729933,0.3698457408519018,0.885,0.8835952380952383
42,42,[2.4471741852423235e-05],0.1777326855944456,0.9378102189781011,0.9360802919708027,0.3181805280702455,0.9057142857142857,0.9038333333333336
43,43,[9.549150281253196e-05],0.16692669731802748,0.9450364963503639,0.9433722627737225,0.3546876043436073,0.8859523809523812,0.8842142857142857
44,44,[0.0004999999999997356],0.18368507887705834,0.9357664233576629,0.9337810218978102,0.33145730658656075,0.8976190476190476,0.8967380952380953
45,45,[0.0009045084971879647],0.16929298356501726,0.9410948905109477,0.9392846715328472,0.34274785548803355,0.8909523809523809,0.8899285714285713
46,46,[0.0009755282581490557],0.15637060923732982,0.9474452554744514,0.9456350364963503,0.3118270867992015,0.9099999999999999,0.9076904761904762
47,47,[0.0006545084971881397],0.15867657278304118,0.9482481751824807,0.946554744525547,0.32207442598328706,0.9102380952380952,0.9081428571428573
48,48,[0.0002061073738538288],0.17268644494895083,0.9443795620437944,0.9424379562043792,0.33698279729911257,0.897857142857143,0.8967619047619048
49,49,[0.0],0.1664358517223031,0.9459124087591229,0.9440291970802923,0.3398009904970725,0.8969047619047618,0.8950238095238096
50,50,[0.00020610737385389345],0.16165792902618864,0.9450364963503639,0.9433576642335765,0.28948607331230525,0.911904761904762,0.9098571428571428
51,51,[0.0006545084971877222],0.18563238445016808,0.9326277372262766,0.9310802919708027,0.30315783211872693,0.9111904761904761,0.9091904761904763
52,52,[0.0009755282581474956],0.1675399504194077,0.9430656934306556,0.9410875912408762,0.32231490819581915,0.899285714285714,0.8976190476190476
53,53,[0.0009045084971894787],0.15595215478109836,0.9436496350364949,0.9417810218978102,0.3188797295803115,0.9078571428571427,0.9059285714285717
54,54,[0.0004999999999992992],0.15418249210954582,0.9494890510948893,0.9477007299270074,0.2970956238430171,0.9126190476190472,0.9104047619047619
55,55,[9.549150281265417e-05],0.13919374935437728,0.9505109489051085,0.9490583941605835,0.3191974716970608,0.914285714285714,0.9119999999999997
56,56,[2.4471741852422015e-05],0.15480510161740937,0.9476642335766414,0.9461240875912407,0.35454251794588,0.8966666666666667,0.895452380952381
57,57,[0.0003454915028132045],0.14734693917099143,0.9494160583941595,0.9477153284671535,0.3348378489414851,0.8995238095238094,0.8986190476190479
58,58,[0.000793892626147305],0.14821359601524406,0.9497080291970792,0.9481751824817515,0.30453167101811796,0.9071428571428571,0.9050238095238095
59,59,[0.0010000000000006917],0.165511800152977,0.9440875912408745,0.9421678832116792,0.33286713613640695,0.9033333333333333,0.9020476190476188
60,60,[0.0007938926261463585],0.15370939263434957,0.946058394160583,0.9445182481751825,0.31149936258970273,0.9054761904761903,0.9037142857142856
61,61,[0.00034549150281353464],0.1424393547005462,0.9527737226277364,0.9513576642335764,0.31548443951067473,0.8995238095238095,0.8980476190476193
62,62,[2.4471741852423235e-05],0.13498069072672486,0.95883211678832,0.9575109489051093,0.3300551696724835,0.9009523809523811,0.8988571428571429
63,63,[9.549150281253027e-05],0.13750697605067144,0.956058394160583,0.9545547445255474,0.3254868360679774,0.9061904761904761,0.9044523809523811
64,64,[0.0004999999999998428],0.15269460425759754,0.9440875912408747,0.9422627737226276,0.30127296153278577,0.9159523809523807,0.913690476190476
65,65,[0.0009045084971893179],0.1274682567352905,0.9594160583941598,0.9582043795620436,0.33912616240836324,0.9016666666666664,0.8998571428571429
66,66,[0.000975528258146241],0.1407156190121152,0.9515328467153273,0.9497372262773724,0.35314698712456793,0.8978571428571427,0.8963809523809523
67,67,[0.0006545084971881316],0.14177618748134505,0.9472262773722618,0.9456496350364959,0.32874759375339463,0.9054761904761905,0.9034047619047618
68,68,[0.00020610737385382726],0.15818120340687514,0.9462773722627728,0.9447299270072994,0.3545112395215602,0.8945238095238094,0.8926666666666667
69,69,[0.0],0.1347691494101373,0.951897810218977,0.9504671532846717,0.3546202543768145,0.9033333333333331,0.9021190476190474
70,70,[0.00020610737385407424],0.1348145625615207,0.9536496350364954,0.9520656934306565,0.34184750116297175,0.9049999999999998,0.9028809523809526
71,71,[0.0006545084971877124],0.1202175762286804,0.9605839416058386,0.9591240875912403,0.3651333773242576,0.903809523809524,0.9022619047619048
72,72,[0.0009755282581474827],0.12547507262142904,0.9600729927007291,0.9586715328467149,0.33417847264735473,0.910952380952381,0.9090000000000001
73,73,[0.0009045084971894674],0.1319218023007151,0.9540145985401449,0.9525182481751825,0.3217018381914213,0.9069047619047617,0.9038095238095238
74,74,[0.0004999999999992944],0.14291537688691577,0.9508759124087578,0.9493211678832116,0.3269105050712824,0.9023809523809524,0.9007380952380953
75,75,[9.549150281252002e-05],0.12150200557670672,0.9583211678832105,0.9568175182481746,0.30997231629277977,0.9080952380952381,0.906642857142857
76,76,[2.4471741852491685e-05],0.12803735817191156,0.9587591240875903,0.9575328467153281,0.36476454768507255,0.896190476190476,0.8945714285714287
77,77,[0.0003454915028122067],0.124325403637749,0.9604379562043787,0.9590802919708026,0.3437682615504378,0.9042857142857142,0.9029523809523811
78,78,[0.0007938926261471095],0.13462278131314004,0.9512408759124077,0.9497591240875908,0.327139491392743,0.9061904761904762,0.904285714285714
79,79,[0.001000000000000678],0.12381990504770601,0.9571532846715319,0.9556861313868609,0.34809458153765827,0.9042857142857144,0.9023095238095236
80,79,[0.0],1.2500136525091463,0.9189781021897798,0.9170437956204383,1.0509297365234012,0.8933333333333332,0.8910952380952382
81,80,[0.00020610737385377256],0.936457610043296,0.9276642335766412,0.9257518248175186,0.9700688010170346,0.9047619047619048,0.9031190476190477
82,81,[0.0006545084971874696],0.8686413773655022,0.9367153284671521,0.9351824817518248,0.930604202406747,0.9004761904761903,0.8983095238095237
83,82,[0.0009755282581476285],0.8417468510404991,0.9475182481751815,0.9459051094890509,0.9221004914669764,0.8949999999999996,0.8931428571428571
84,83,[0.0009045084971875771],0.8402412990583991,0.9456204379562032,0.9440218978102193,0.927411946512404,0.8976190476190475,0.8960714285714285
85,84,[0.0004999999999999693],0.8283334430986947,0.9501459854014587,0.9483722627737221,0.9270313609214056,0.9069047619047617,0.9051666666666669
86,85,[9.549150281251605e-05],0.8188385993894869,0.954890510948904,0.9534233576642336,0.8980305123896826,0.910238095238095,0.9084523809523811
87,86,[2.4471741852438336e-05],0.8085481215567485,0.9602189781021888,0.9588832116788318,0.9045431954520089,0.9076190476190475,0.9056190476190477
88,87,[0.0003454915028124661],0.8103401617412149,0.9500729927007289,0.9486277372262771,0.919179013797215,0.9097619047619047,0.9081428571428574
89,88,[0.0007938926261462902],0.805704288674097,0.9648175182481744,0.963678832116788,0.882461238475073,0.9154761904761903,0.9135714285714287
90,89,[0.0010000000000003082],0.7969724644709678,0.9613868613138676,0.9600072992700727,0.8940944685822442,0.9128571428571426,0.9105714285714287
91,90,[0.0007938926261466496],0.7968141153781083,0.961094890510948,0.9598175182481746,0.8781242569287618,0.9140476190476189,0.9126428571428572
92,91,[0.0003454915028125252],0.7960715881229317,0.9608029197080281,0.959547445255474,0.8815869320006597,0.9135714285714284,0.9115952380952382
93,92,[2.4471741852423235e-05],0.7934058808932339,0.9619708029197074,0.9606934306569336,0.8802977956476665,0.9116666666666666,0.9100000000000001
94,93,[9.549150281257769e-05],0.7883988879892948,0.9627007299270064,0.9614014598540145,0.877436176652,0.9159523809523807,0.9140952380952382
95,94,[0.0004999999999999793],0.7908822124021767,0.962992700729926,0.9616204379562041,0.8777745394479661,0.9154761904761906,0.9134523809523808
96,95,[0.0009045084971876205],0.7895515060772861,0.9591970802919699,0.9579416058394157,0.8743155712173099,0.9142857142857143,0.9127619047619049
97,96,[0.0009755282581479434],0.7906932304375363,0.9580291970802909,0.9565839416058396,0.8674229071253822,0.9161904761904761,0.9144047619047616
98,97,[0.0006545084971873865],0.7779576965492138,0.9665693430656925,0.9655036496350357,0.8713327561106,0.9216666666666665,0.9196428571428574
99,98,[0.00020610737385392058],0.780470633593789,0.9659854014598532,0.9648248175182479,0.8683970527989524,0.9085714285714285,0.9060000000000001
100,99,[0.0],0.7814056399094798,0.9613868613138676,0.9600145985401459,0.8752518140134358,0.9135714285714287,0.9117380952380953
